index	chromosome	region_start	region_end	peak_start	peak_end	enlarged_peak_start	enlarged_peak_end	n_genes_in_region	genes_in_region	n_genes_in_peak	genes_in_peak	n_genes_on_chip	genes_on_chip	top 3	amp	cytoband	q_value
1	1	3218610	51601252	5922281	5922821	3218610	6843928	116	snoU13|ENSG00000239166.1,LINC00337,RN7SL574P,MIR551A,MEGF6,LINC00982,TTC34,C1orf222,TMEM240,RN7SL657P,TAS1R3,RNF223,FAM41C,FAM87B,OR4F5,FAM138A,DDX11L1,CDK11B,DFFB,DVL1,GABRD,GNB1,ZBTB48,PEX10,PRKCZ,RPL22,SCNN1D,SKI,TP73,TNFRSF4,MMP23B,KCNAB2,TNFRSF25,TNFRSF14,TNFRSF18,ISG15,PLCH2,CEP104,KLHL21,SLC35E2,RER1,ACOT7,ICMT,CHD5,NOC2L,ARHGEF16,SSU72,WRAP73,SDF4,MXRA8,HES2,CPSF3L,C1orf159,AURKAIP1,MRPL20,ATAD3A,PANK4,DNAJC11,AJAP1,PLEKHG5,LRRC47,HES4,PRDM16,VWA1,NADK,MMEL1,NOL9,LINC00115,MORN1,GLTPD1,TAS1R1,OR4F16,CCNL2,ESPN,ATAD3B,PLEKHN1,C1orf170,THAP3,ACAP3,UBE2J2,PUSL1,B3GALT6,TPRG1L,FAM213B,ACTRT2,MIB2,SAMD11,PHF13,CCDC27,CALML6,C1orf86,ATAD3C,TTLL10,NPHP4,C1orf174,KLHL17,TMEM52,AGRN,GPR153,FAM132A,HES5,SMIM1,RNF207,HES3,MIR200A,MIR200B,ANKRD65,MIR429,TMEM88B,C1orf233,CDK11A,SLC35E2B,OR4F29,MIR4252,MIR4689,MIR4417,	1	MIR4689,	[Not Available]	[Not Available]	[Not Available]	0	1p36.31	1.1606e-33
2	1	3218610	51601252	27015184	27119975	16785807	33280932	284	ZBTB8OS,ZBTB8B,RN7SL122P,MTMR9LP,MIR5585,MIR4254,FABP3,SNORD85,SNORD103B,SNORD103A,SDC3,RN7SKP91,MIR4420,SCARNA24|ENSG00000252777.1,RNU11,RAB42,SNORD99,SNHG12,snoU13|ENSG00000238821.1,SNORA73B,RNU6ATAC27P,RN7SL559P,SCARNA1,GPN2,ZDHHC18,RN7SL165P,RN7SL501P,snoU13|ENSG00000238316.1,RN7SL679P,MIR1976,HMGN2,RN7SL490P,AIM1L,SH3BGRL3,ZNF593,SCARNA18|ENSG00000252691.1,SCARNA17|ENSG00000252190.1,MAN1C1,snoU13|ENSG00000238889.1,SYF2,snoU13|ENSG00000238986.1,RN7SL857P,snoU13|ENSG00000238538.1,RN7SL24P,RN7SL532P,MIR3115,MIR4684,LINC00339,RN7SL186P,RN7SL768P,RN7SL386P,RN7SL421P,MIR1256,UBXN10,PLA2G2C,PLA2G2D,PLA2G5,RN7SL304P,PLA2G2E,snoU13|ENSG00000239027.1,RN7SL277P,RN7SL85P,AKR7A2,AKR7A3,MIR1290,MIR4695,snoU13|ENSG00000239020.1,PADI6,MIR3972,U1|ENSG00000228549.2,MST1L,ESPNP,CROCCP2,U1|ENSG00000233421.3,CROCCP3,ALPL,BAI2,C1QA,C1QB,C1QC,CAPZB,RUNX3,CDA,CDC42,CD52,RCC1,CNR2,COL16A1,DDOST,E2F2,ECE1,EPB41,EPHA8,EPHB2,EXTL1,EYA3,FGR,FUCA1,IFI6,GALE,SFN,GPR3,HCRTR1,HDAC1,HMGCL,HSPG2,HTR1D,HTR6,ID3,STMN1,LCK,MATN1,MFAP2,NBL1,OPRD1,PAFAH2,PAX7,PLA2G2A,PPP1R8,PTAFR,RAP1GAP,RBBP4,RHCE,RHD,RPA2,RPL11,RPS6KA1,SDHB,SRSF4,SLC9A1,TAF12,TCEA3,TCEB3,SLC30A2,LUZP1,LAPTM5,PTP4A2,ARID1A,SNHG3,NR0B2,FCN3,YARS,ALDH4A1,EIF3I,EIF4G3,MAP3K6,SNRNP40,THEMIS2,CROCC,PUM1,ZBTB40,PTPRU,CELA3A,WASF2,HNRNPR,SRRM1,CNKSR1,KHDRBS1,GMEB1,NUDC,SRSF10,RCAN3,PADI2,LYPLA2,DNAJC8,KDM1A,WDTC1,EMC1,OTUD3,UBR4,ATP13A2,CELA3B,PADI4,TMEM50A,KPNA6,STX12,CLIC4,LDLRAP1,AHDC1,SMPDL3B,PADI1,HP1BP3,MECR,MRTO4,YTHDF2,ZCCHC17,PADI3,WNT4,RNF186,MED18,PQLC2,TRNAU1AP,BSDC1,XKR8,TMEM39B,ARHGEF10L,TMEM57,CAMK2N1,ASAP3,PNRC2,PIGV,NBPF1,IQCC,RCC2,TMEM234,MTFR1L,C1orf63,PITHD1,NIPAL3,SEPN1,KIF17,KIAA1522,GRHL3,IL22RA1,GPATCH3,TINAGL1,PLA2G2F,CEP85,PINK1,MARCKSL1,PHACTR4,AUNIP,CCDC28B,NKAIN1,MUL1,LIN28A,FAM110D,DHDDS,ZNF436,TAS1R2,SYNC,ACTL8,TSSK3,SESN2,TMEM222,USP48,NBPF3,TRIM63,FAM167B,SYTL1,IGSF21,STPG1,SPOCD1,UBXN11,ATPIF1,FAM46B,C1orf172,IFFO2,MYOM3,KLHDC7A,VWA5B1,C1orf213,DCDC2B,PDIK1L,IFNLR1,FAM43B,PAQR7,FAM76A,TXLNA,AKR7L,TMCO4,ZNF683,MDS2,SERINC2,CATSPER4,TRNP1,CD164L2,TMEM200B,SH2D5,NCMAP,LDLRAD2,MINOS1,PEF1,LACTBL1,ZBTB8A,C1orf234,FAM229A,MIR4253,MIR3917,MIR3675,MIR4419A,MIR4425,MIR4418,MIR378F,	3	RN7SL501P,ARID1A,PIGV,	[Not Available]	[Not Available]	[Not Available]	0	1p36.11	1.6679e-20
3	2	141168074	142142211	140981064	142891872	140782681	143627097	2	RN7SL283P,LRP1B,	1	LRP1B,	[Not Available]	[Not Available]	[Not Available]	0	2q22.1	7.7465e-07
4	2	235324525	242476062	242291259	242434726	234986392	242476062	73	CXXC11,RNA5SP122,MIR3133,RNPEPL1,MIR149,MIR2467,MIR4441,MIR4440,FAM132B,SNORD39|ENSG00000263723.1,RBM44,COPS8,RN7SL204P,AGXT,KIF1A,BOK,COL6A3,DTYMK,GBX2,GPC1,GPR35,HDLBP,NDUFA10,SEPT2,PDCD1,PPP1R7,PER2,LRRFIP1,HDAC4,FARP2,ARL4C,RAMP1,STK25,CAPN10,PASK,ATG4B,SH3BP4,SNED1,TRAF3IP1,ANO7,PRLH,THAP4,ANKMY1,SCLY,ASB1,HES6,ACKR3,GAL3ST2,RAB17,MLPH,IQCA1,C2orf54,ILKAP,ING5,AGAP1,TWIST2,NEU4,MTERFD2,UBE2F,OTOS,MYEOV2,OR6B3,DUSP28,ESPNL,AQP12A,KLHL30,OR6B2,ASB18,PRR21,AQP12B,D2HGDH,MIR4269,MIR4786,	2	MIR3133,FARP2,	[Not Available]	[Not Available]	[Not Available]	0	2q37.3	0.0022356
5	3	66640270	78312944	71000305	71634540	70018072	71727016	2	FOXP1,MIR1284,	2	FOXP1,MIR1284,	[Not Available]	[Not Available]	[Not Available]	0	3p13	6.4295e-05
6	4	155288650	188762240	185352210	185353799	185201041	185517245	5	SNORD79,CASP3,IRF2,MLF1IP,CCDC111,	1	SNORD79,	[Not Available]	[Not Available]	[Not Available]	0	4q35.1	1.8058e-23
7	4	67144538	120177960	87257465	87259006	66539501	95372612	205	RNA5SP164,RN7SKP248,GPRIN3,RN7SKP244,RNU6ATAC31P,IBSP,snoU13|ENSG00000238652.1,RN7SL681P,RN7SKP96,MIR4451,RN7SKP48,RN7SL552P,MRPS18C,snoR442|ENSG00000252834.1,MIR575,LINC00575,SNORD42|ENSG00000202440.1,HNRNPD,SNORA31|ENSG00000252762.1,SNORA75|ENSG00000212620.1,OR7E94P,LINC00989,NAA11,RN7SL127P,MIR5096,snoU13|ENSG00000238816.1,SNORD75|ENSG00000221711.1,MIR548AH,MIR4450,SNORD50|ENSG00000199857.1,CDKL2,BTC,PPBPP2,RN7SL218P,PPBP,PF4,PF4V1,SNORA3|ENSG00000221639.1,RNU6ATAC5P,RNU4ATAC9P,RNA5SP163,snoU13|ENSG00000238318.1,CSN1S2AP,SULT1B1,UGT2A1,UGT2A2,UGT2B10,TMPRSS11BNL,FTLP10,TMPRSS11GP,SNORA62|ENSG00000202374.1,GNRHR,UBA6,AFM,AFP,ALB,AMBN,ANXA3,AREG,ART3,ATOH1,BMP3,CCNG2,SCARB2,CDS1,CENPC,CSN1S1,CSN2,CSN3,DCK,DMP1,DSPP,EREG,FGF5,GC,GK2,GRID2,CXCL1,CXCL2,CXCL3,GRSF1,HTN1,HTN3,IGJ,IL8,CXCL10,CXCL9,AFF1,MUC7,PKD2,PPEF2,PRKG2,MAPK10,PTPN13,CXCL6,CXCL11,CXCL5,SNCA,SPP1,STATH,SULT1E1,UGT2B4,UGT2B7,UGT2B15,UGT2B17,SPARCL1,USO1,SLC4A4,HERC3,TMPRSS11D,ABCG2,ADAMTS3,G3BP2,HNRNPDL,ENAM,FAM13A,CXCL13,UGT2B11,HPSE,SMR3B,NPFFR2,UGT2A1,CCNI,SEC31A,RUFY3,MMRN1,WDFY3,PARM1,RCHY1,ANKRD17,STAP1,SMR3A,NAAA,COQ2,HPGDS,TMPRSS11E,COPS4,HSD17B11,HERC5,PLAC8,NUDT9,NUP54,UGT2B28,ODAM,HERC6,SDAD1,BMP2K,SEPT11,SMARCAD1,MEPE,PRDM8,UTP3,KLHL8,SHROOM3,ENOPH1,PROL1,MRPL1,THAP9,UGT2A3,SCD5,FRAS1,ARHGAP24,FAM175A,AGPAT9,PIGY,CABS1,YTHDC1,MOB1B,HELQ,PCAT4,ANTXR2,LIN54,TMPRSS11B,C4orf36,PAQR3,THAP6,C4orf26,PPM1K,RASGEF1B,TIGD2,RASSF6,CNOT6L,C4orf22,EPGN,FDCSP,NAP1L5,COX18,CCDC158,TMPRSS11A,SOWAHB,SLC10A6,HSD17B13,TMPRSS11F,C4orf40,AMTN,CCSER1,MTHFD2L,TMEM150C,AREGB,FAM47E,MIR1269A,MIR4452,FAM47E,MIR5705,PYURF,	1	RN7SKP96,	[Not Available]	[Not Available]	[Not Available]	0	4q21.3	3.0903e-07
8	4	3265710	3266245	3242920	3276343	1053934	30717935	206	RN7SL101P,SNORD74|ENSG00000200999.1,RN7SL16P,snoU13|ENSG00000238383.1,RNA5SP157,FAM184B,MED28,RN7SL315P,snoU13|ENSG00000238536.1,SNORA75|ENSG00000206780.1,ZEB2P1,CD38,FAM200B,RN7SKP170,SNORA63|ENSG00000202449.1,LINC00504,HSP90AB2P,RNA5SP156,HS3ST1,CLNK,RNA5SP155,MIR3138,RNA5SP154,RNA5SP153,USP17L23,USP17L15,FAM90A26,GPR78,RNA5SP152,MIR95,MIR4274,MIR4798,RN7SKP36,GRPEL1,RN7SKP292,S100P,C4orf50,RN7SKP275,RN7SKP113,FAM86EP,LINC00955,LRPAP1,MSANTD1,RN7SL589P,MIR943,SCARNA22,RN7SL671P,SNORA48|ENSG00000212458.1,TMED11P,RN7SL358P,ZNF721,ABCA11P,MIR571,ZNF141,ZNF732,ZNF876P,ZNF718,ZNF595,ADD1,ADRA2C,ATP5I,BST1,CCKAR,CRMP1,CTBP1,DGKQ,DHX15,DRD5,EVC,FGFR3,GAK,GRK4,HTT,HGFAC,HMX1,IDUA,RBPJ,LETM1,MSX1,MYL5,PDE6B,PPP2R2C,QDPR,RGS12,RNF4,SH3BP2,SOD3,WFS1,WHSC1,NELFA,SLBP,ACOX3,CPZ,NOP14,FAM193A,PROM1,LDB2,SLIT2,RAB28,KIAA0232,WDR1,FGFBP1,C4orf6,MFSD10,MAEA,PCGF3,SPON2,TACC3,SLC34A2,MXD4,CPLX1,SLC26A1,PPARGC1A,SEL1L3,MAN2B2,FBXL5,NSG1,ZCCHC4,ANAPC4,LAP3,SEPSECS,STX18,FGFRL1,CYTL1,SH3TC1,PIGG,DCAF16,LGI2,TBC1D19,PI4K2B,BLOC1S4,STK32B,LYAR,SLC2A9,TBC1D14,SORCS2,CC2D2A,STIM2,UVSSA,ZFYVE28,GBA3,AFAP1,NCAPG,TNIP2,HAUS3,KCNIP4,FGFBP2,MFSD7,TMEM175,ABLIM2,TMEM128,ZNF518B,CCDC149,TMEM129,MRFAP1,TADA2B,HTRA3,C1QTNF7,MRFAP1L1,CPEB2,EVC2,PACRGL,OTOP1,JAKMIP1,FAM53A,TRMT44,GPR125,ZBTB49,TAPT1,LCORL,CCDC96,BOD1L1,CRIPAK,DOK7,RNF212,NAT8L,POLN,SMIM20,C4orf48,DEFB131,CLRN2,MIR572,MIR573,USP17L24,USP17L25,USP17L26,USP17L5,USP17L27,USP17L28,USP17L29,USP17L30,PSAPL1,USP17L10,USP17L11,USP17L12,USP17L13,USP17L17,USP17L18,USP17L19,USP17L20,USP17L21,USP17L22,MIR548I2,MIR378D1,MIR4800,MIR5091,	1	MSANTD1,	[Not Available]	[Not Available]	[Not Available]	0	4p16.3	0.14149
9	4	67144538	120177960	104506899	104641864	87847711	115516969	135	RN7SL184P,TIFA,C4orf32,ENPEP,RN7SL275P,CCDC109B,MIR576,RN7SL55P,SNORD112|ENSG00000252566.1,GIMD1,RN7SL89P,SNORA31|ENSG00000252136.1,TACR3,BDH2,CISD2,snoU13|ENSG00000238948.1,RN7SL728P,MIR1255A,ADH1B,PCNAP1,MIR3684,EIF4E,RN7SKP28,RNA5SP164,RN7SKP248,GPRIN3,RN7SKP244,RNU6ATAC31P,IBSP,snoU13|ENSG00000238652.1,RN7SL681P,ADH1A,ADH1C,ADH4,ADH5,ADH6,ADH7,ANK2,ATOH1,BMPR1B,CAMK2D,CASP6,CENPE,DMP1,DSPP,EGF,GRID2,H2AFZ,HADH,CFI,MANBA,AFF1,MTTP,NFKB1,PDHA2,PITX2,PKD2,PPP3CA,RAP1GDS1,RPL34,SNCA,SPP1,UBE2D3,SPARCL1,UNC5C,LAMTOR3,HERC3,PAPSS1,AIMP1,ABCG2,TSPAN5,FAM13A,SEC24B,PDLIM5,RRH,MMRN1,METAP1,PPA2,DAPP1,DKK2,HPGDS,HSD17B11,LEF1,HERC5,LARP7,EMCN,NUDT9,GAR1,TET2,ARHGEF38,HERC6,BANK1,C4orf21,AP1AR,SMARCAD1,MEPE,INTS12,KLHL8,OSTC,NEUROG2,SLC39A8,ETNPPL,ELOVL6,ARSJ,GSTCD,DNAJB14,ALPK1,CXXC4,PLA2G12A,C4orf17,COL25A1,PIGY,TRMT10A,TBCK,CYP2U1,DDIT4L,SLC9B2,SLC9B1,PPM1K,TIGD2,SGMS2,NPNT,NAP1L5,STPG2,LRIT3,HSD17B13,CCSER1,MIR302A,MIR302B,MIR302C,MIR302D,MIR367,MIR297,MIR5705,PYURF,	1	TACR3,	[Not Available]	[Not Available]	[Not Available]	0	4q24	7.0927e-07
10	6	102243581	170903919	170101281	170106709	169655900	170148622	4	TCTE3,PHF10,WDR27,C6orf120,	1	C6orf120,	[Not Available]	[Not Available]	[Not Available]	0	6q27	3.4191e-15
