index	chromosome	region_start	region_end	peak_start	peak_end	enlarged_peak_start	enlarged_peak_end	n_genes_in_region	genes_in_region	n_genes_in_peak	genes_in_peak	n_genes_on_chip	genes_on_chip	top 3	amp	cytoband	q_value
1	1	149881398	247812431	150711896	150713461	150637711	150739670	3	CTSS,GOLPH3L,HORMAD1,	1	CTSS,	[Not Available]	[Not Available]	[Not Available]	1	1q21.3	2.0728e-24
2	1	149881398	247812431	234648835	234649644	228802765	247812431	180	PGBD2,LYPD8,OR2T7,OR2AJ1,TRIM58,OR1C1,OR14K1,OR14A2,OR2W5,RNA5SP82,MIR3916,ZNF670,SNORA25|ENSG00000252011.1,SNORD112|ENSG00000252495.1,RN7SKP55,RN7SL148P,MIR4677,RN7SKP12,RNA5SP81,CHRM3,MTRNR2L11,ZP4,SNORA25|ENSG00000252290.1,MIR4428,RN7SKP195,snoU13|ENSG00000252638.1,MIR4753,SNORA14B,RN7SL668P,RNY4P16,LINC00184,U8|ENSG00000212144.1,MIR4671,MIR4427,NTPCR,RN7SL299P,LINC00582,TRAX,RNA5SP80,MIR1182,snoU13|ENSG00000238985.1,RN7SL837P,RNA5SP79,RN7SL467P,RNA5SP78,RN7SKP276,TMEM78,ACTA1,ACTN2,ADSS,AGT,CHML,LYST,FH,GALNT2,GNG4,HNRNPU,KCNK1,LGALS8,MTR,NID1,RAB4A,RGS7,RYR2,TARBP1,TBCE,GPR137B,TSNAX,ZNF124,GNPAT,KMO,EXO1,GGPS1,TOMM20,URB2,CEP170,AKT3,ZBTB18,SPHAR,CAPN9,SDCCAG8,COG2,RBM34,ABCB10,OPN3,AHCTF1,OR2M4,OR2L2,OR2T1,TAF5L,DISC1,DESI2,SCCPDH,ARID4B,EGLN1,MAP10,KIF26B,HEATR1,ZNF692,NUP133,ERO1LB,FMN2,ZNF695,SIPA1L2,RHOU,TFB2M,GREM2,SMYD3,ARV1,TTC13,PGBD5,ZNF669,ZNF672,PCNXL2,SH3BP5L,OR2L5,OR2G3,OR2G2,OR2C3,SPRTN,EFCAB2,MLK4,ZNF496,C1orf198,NLRP3,COX20,CCSAP,OR2M5,OR2M3,OR2T12,OR14C36,OR2T34,OR2T10,OR2T4,OR2T11,OR2B11,WDR64,C1orf131,EDARADD,SLC35F3,B3GALNT2,GCSAML,EXOC8,CNST,PLD5,C1orf100,OR2T6,C1orf101,OR2L13,OR14A16,OR6F1,OR2W3,OR2T8,OR2T3,OR2T29,IRF2BP2,FAM89A,COA6,C1orf229,OR11L1,OR2L8,OR2AK2,OR2L3,OR2M2,OR2T33,OR2M7,OR2G6,OR2T2,OR2T5,OR14I1,OR2T27,OR2T35,TRIM67,MAP1LC3C,OR13G1,MT1HL1,MIR1537,MIR3123,MIR3124,MIR3916,	0	[TARBP1]	[Not Available]	[Not Available]	[Not Available]	1	1q42.2	4.3428e-09
3	2	20142281	20863408	20346651	20351003	20342659	20363925	0	[RN7SL140P]	0	[RN7SL140P]	[Not Available]	[Not Available]	[Not Available]	1	2p24.1	0.00067861
4	2	201536669	201589011	201567480	201567480	201549704	201574835	1	AOX2P,	1	AOX2P,	[Not Available]	[Not Available]	[Not Available]	1	2q33.1	0.016453
5	3	166769017	183919950	172276979	172278000	172266051	172284901	0	[TNFSF10]	0	[TNFSF10]	[Not Available]	[Not Available]	[Not Available]	1	3q26.31	6.7256e-11
6	4	39394753	39586561	39480883	39500514	39328705	39571037	7	SMIM14,MIR5591,RFC1,RPL9,UGDH,LIAS,KLB,	1	UGDH,	[Not Available]	[Not Available]	[Not Available]	1	4p14	0.0362
7	5	914233	1315343	1003135	1019814	986553	1299329	6	MIR4635,TERT,SLC12A7,NKD2,SLC6A19,SLC6A18,	1	NKD2,	[Not Available]	[Not Available]	[Not Available]	1	5p15.33	1.099e-10
8	5	167484540	180360469	178849698	178923476	178720968	178940196	2	RN7SL71P,ADAMTS2,	1	RN7SL71P,	[Not Available]	[Not Available]	[Not Available]	1	5q35.3	0.00031067
9	6	43039417	45847619	43773768	43773768	43735986	43820076	1	VEGFA,	0	[VEGFA]	[Not Available]	[Not Available]	[Not Available]	1	6p21.1	9.4799e-15
10	6	63739712	66131714	64151967	64159651	64050016	64315686	1	PTP4A1,	0	[PTP4A1]	[Not Available]	[Not Available]	[Not Available]	1	6q12	0.00019738
11	6	1015750	29652576	2979079	3023956	1015750	14120975	96	NOL7,RN7SKP204,PHACTR1,RN7SKP293,SNORA67|ENSG00000207419.1,snoU13|ENSG00000238896.1,RNA5SP203,C6orf52,GCNT6,LINC00518,RNU6ATAC21P,OFCC1,HULC,snoU13|ENSG00000251762.1,RN7SL554P,LY86,RN7SL221P,MIR3691,RMRPP2,snoU13|ENSG00000238801.1,RNA5SP202,snoU13|ENSG00000252668.1,C6ORF50,RNA5SP201,C6orf195,RN7SL352P,snoU13|ENSG00000238438.1,BMP6,BPHL,DSP,EDN1,SERPINB1,F13A1,FOXF2,FOXC1,GCNT2,GMDS,HIVEP1,IRF4,MAK,NEDD9,NQO2,SERPINB6,SERPINB9,RREB1,SSR1,TFAP2A,TUBB2A,RIPK1,PRPF4B,GCM2,CD83,CDYL,EEF1E1,RANBP9,ECI2,FARS2,RPP40,SIRT5,FAM50B,SLC35B3,TBC1D7,NRN1,TMEM14C,GFOD1,ELOVL2,PAK1IP1,EXOC2,WRNIP1,DUSP22,LYRM4,SLC22A23,BLOC1S5,MCUR1,TXNDC5,TMEM14B,RIOK1,ADTRP,FOXQ1,HUS1B,SNRNP48,RNF182,SMIM13,SYCP2L,PXDC1,FAM217A,CAGE1,MYLK4,TUBB2B,PSMG4,C6orf201,PPP1R3G,TMEM170B,MIR4645,MIR5689,MIR5683,	1	NQO2,	[Not Available]	[Not Available]	[Not Available]	1	6p25.2	1.013e-05
12	6	67379706	67916580	67564066	67575814	66993455	68056610	1	SNORD65|ENSG00000212229.1,	0	[SNORD65|ENSG00000212229.1]	[Not Available]	[Not Available]	[Not Available]	1	6q12	0.029807
13	7	115499797	118617211	116391353	116391362	116230902	116662425	4	RNA5SP239,CAPZA2,MET,ST7,	1	MET,	[Not Available]	[Not Available]	[Not Available]	1	7q31.2	0.00018251
