rank	gene	description	N	n	npat	nsite	nsil	n1	n2	n3	n4	n5	n6	p_classic	p_ns_s	p_clust	p_cons	p_joint	p	q
1	AXIN1	axin 1	865916	25	24	24	1	0	1	0	3	21	0	8.55e-15	0.0421	0.00396	0.0301	0.00157	5.55e-16	3.12e-12
2	TP53	tumor protein p53	478886	117	114	85	1	7	15	7	38	50	0	2.89e-15	9.33e-11	0.000	0.000283	0.000	<1.00e-15	<3.12e-12
3	CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa	891774	102	96	27	3	0	30	18	50	4	0	3.22e-15	1.34e-10	0.000	0.00121	0.000	<1.00e-15	<3.12e-12
4	NFE2L2	nuclear factor (erythroid-derived 2)-like 2	679322	15	13	12	0	0	3	1	9	2	0	2.60e-08	0.0431	0.000	0.000544	0.000	<1.00e-15	<3.12e-12
5	TCEAL6	transcription elongation factor A (SII)-like 6	206636	9	4	4	0	0	3	4	2	0	0	0.00151	0.0475	0.000	0.0479	0.000	<1.00e-15	<3.12e-12
6	TOE1	target of EGR1, member 1 (nuclear)	580488	2	2	2	0	0	0	1	0	1	0	0.435	0.462	1.000	0.000	0.000	<1.00e-15	<3.12e-12
7	RB1	retinoblastoma 1 (including osteosarcoma)	1020253	24	21	23	0	0	0	0	5	18	1	2.58e-14	0.0438	0.0502	0.678	0.0867	7.76e-14	2.07e-10
8	ALB	albumin	699495	46	43	40	2	0	3	2	7	28	6	5.77e-15	0.162	0.540	0.893	0.733	1.44e-13	3.37e-10
9	BAP1	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)	830020	19	19	19	1	0	0	0	5	13	1	7.86e-14	0.170	0.306	0.105	0.197	5.07e-13	1.05e-09
10	CDKN2A	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	261198	11	11	11	0	0	1	0	5	5	0	4.83e-10	0.163	0.0705	1.10e-05	6.40e-05	9.93e-13	1.86e-09
11	ARID1A	AT rich interactive domain 1A (SWI-like)	2224562	33	32	31	2	0	2	1	5	24	1	3.95e-13	0.118	0.962	0.700	1.000	1.17e-11	1.99e-08
12	KEAP1	kelch-like ECH-associated protein 1	686886	19	17	19	0	3	4	0	7	5	0	1.11e-11	0.0300	0.144	0.278	0.221	6.79e-11	1.06e-07
13	CDC27	cell division cycle 27 homolog (S. cerevisiae)	879104	15	15	8	1	1	1	1	2	10	0	9.38e-09	0.432	0.000632	0.913	0.00171	4.15e-10	5.97e-07
14	KRT10	keratin 10 (epidermolytic hyperkeratosis; keratosis palmaris et plantaris)	569280	11	9	4	1	7	0	0	3	1	0	4.40e-06	0.0832	9.40e-06	0.0899	1.28e-05	1.38e-09	1.85e-06
15	KIAA0040	KIAA0040	113088	7	5	4	0	0	0	3	3	1	0	9.41e-07	0.0920	2.88e-05	0.922	0.000102	2.32e-09	2.89e-06
16	KCNN3	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3	824020	12	12	9	0	0	1	0	8	3	0	6.17e-06	0.174	1.44e-05	0.987	4.62e-05	6.55e-09	7.66e-06
17	APOB	apolipoprotein B (including Ag(x) antigen)	5087988	44	39	42	4	1	8	3	10	22	0	1.16e-08	0.100	0.192	0.259	0.211	5.09e-08	5.60e-05
18	IL6ST	interleukin 6 signal transducer (gp130, oncostatin M receptor)	1045882	12	12	12	1	0	2	0	2	8	0	1.15e-05	0.461	0.000157	0.394	0.000343	8.04e-08	8.35e-05
19	KRT2	keratin 2 (epidermal ichthyosis bullosa of Siemens)	699702	12	12	11	2	1	0	0	1	10	0	4.27e-06	0.743	0.000509	0.361	0.00137	1.17e-07	0.000115
20	NRD1	nardilysin (N-arginine dibasic convertase)	1406365	14	13	7	1	0	3	0	11	0	0	0.000114	0.199	1.38e-05	1.000	6.36e-05	1.44e-07	0.000134
21	ARID2	AT rich interactive domain 2 (ARID, RFX-like)	2069493	23	22	23	2	0	1	1	5	14	2	1.35e-08	0.163	0.531	0.837	0.794	2.07e-07	0.000185
22	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	454915	11	11	11	1	0	0	1	2	8	0	2.81e-08	0.622	0.271	0.717	0.462	2.48e-07	0.000203
23	RPS6KA3	ribosomal protein S6 kinase, 90kDa, polypeptide 3	828758	15	14	14	0	0	2	1	5	7	0	1.80e-08	0.0338	0.717	0.527	0.724	2.49e-07	0.000203
24	CRIP3	cysteine-rich protein 3	239794	8	6	5	0	1	0	3	4	0	0	2.51e-05	0.0791	0.000330	0.178	0.000659	3.13e-07	0.000244
25	ACVR2A	activin A receptor, type IIA	583880	13	11	13	1	0	2	0	2	8	1	3.47e-08	0.321	0.540	0.904	1.000	6.31e-07	0.000472
26	PIK3CA	phosphoinositide-3-kinase, catalytic, alpha polypeptide	1217832	13	13	8	1	1	3	3	6	0	0	1.26e-05	0.118	0.0605	0.00992	0.00680	1.49e-06	0.00107
27	EEF1A1	eukaryotic translation elongation factor 1 alpha 1	421755	9	9	7	0	0	1	4	4	0	0	2.70e-07	0.0657	0.407	0.152	0.390	1.79e-06	0.00124
28	ATXN1	ataxin 1	840496	11	10	8	0	1	0	0	5	5	0	0.000900	0.191	4.68e-05	0.996	0.000176	2.64e-06	0.00176
29	CNGA3	cyclic nucleotide gated channel alpha 3	781898	11	11	9	1	3	2	2	4	0	0	5.26e-06	0.120	0.156	0.00953	0.0328	2.86e-06	0.00184
30	CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	262947	5	4	4	1	0	1	1	3	0	0	0.00355	0.504	8.80e-06	0.957	5.06e-05	2.97e-06	0.00185
31	PRAMEF4	PRAME family member 4	370377	4	4	1	0	0	0	0	4	0	0	0.0159	0.492	1.40e-06	0.324	1.42e-05	3.67e-06	0.00222
32	BRD7	bromodomain containing 7	733628	10	10	10	0	0	1	0	1	8	0	3.52e-06	0.325	0.0323	0.931	0.0721	4.11e-06	0.00240
33	CDKN1A	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	174836	6	6	6	1	0	0	0	4	2	0	5.43e-06	0.555	0.594	0.0126	0.0546	4.76e-06	0.00270
34	IDH1	isocitrate dehydrogenase 1 (NADP+), soluble	473849	8	8	5	0	3	0	0	4	1	0	3.03e-05	0.178	0.00596	0.848	0.0118	5.64e-06	0.00311
35	ZNF714	zinc finger protein 714	550670	8	8	7	0	0	2	2	4	0	0	7.79e-05	0.124	0.00354	0.930	0.00703	8.44e-06	0.00451
36	GJB1	gap junction protein, beta 1, 32kDa	312313	3	3	1	0	0	0	0	0	3	0	0.0219	1.000	8.66e-05	0.00239	2.78e-05	9.32e-06	0.00484
37	IRX1	iroquois homeobox 1	417732	11	11	10	2	0	1	1	7	2	0	2.11e-06	0.583	0.513	0.197	0.543	1.68e-05	0.00840
38	PCDHB16	protocadherin beta 16	781730	12	12	12	1	2	0	0	9	1	0	3.35e-06	0.201	0.548	0.142	0.347	1.71e-05	0.00840
39	LCE1F	late cornified envelope 1F	131643	5	5	5	0	0	1	0	2	2	0	5.18e-06	0.514	0.167	0.836	0.276	2.07e-05	0.00992
40	KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	262077	6	6	5	0	0	1	3	2	0	0	1.65e-05	0.185	0.0566	0.264	0.0912	2.17e-05	0.0101
41	DLG4	discs, large homolog 4 (Drosophila)	867668	3	3	2	1	0	1	2	0	0	0	0.405	0.565	0.000355	0.000346	4.40e-06	2.54e-05	0.0116
42	CLECL1	C-type lectin-like 1	189532	4	3	2	0	0	0	0	4	0	0	0.0113	0.530	2.04e-05	0.510	0.000167	2.68e-05	0.0118
43	FAM47A	family with sequence similarity 47, member A	873422	11	11	11	0	2	2	1	6	0	0	1.94e-05	0.0448	0.0998	0.207	0.0984	2.70e-05	0.0118
44	BCLAF1	BCL2-associated transcription factor 1	1026489	14	13	11	0	0	0	4	5	5	0	3.10e-06	0.115	0.488	0.926	0.665	2.91e-05	0.0124
45	GPSM2	G-protein signaling modulator 2 (AGS3-like, C. elegans)	781896	4	4	2	0	0	0	0	4	0	0	0.158	0.531	1.40e-06	1.000	1.34e-05	2.97e-05	0.0124
46	NEFH	neurofilament, heavy polypeptide 200kDa	803620	11	10	10	6	0	0	0	4	7	0	0.00333	0.999	0.000271	0.896	0.000987	4.48e-05	0.0182
47	COG2	component of oligomeric golgi complex 2	849122	4	4	1	0	0	0	0	0	4	0	0.577	1.000	2.00e-07	0.0522	6.00e-06	4.70e-05	0.0187
48	OR5H14	olfactory receptor, family 5, subfamily H, member 14	348511	7	7	7	1	0	2	0	5	0	0	4.43e-05	0.486	0.548	0.0298	0.0889	5.29e-05	0.0206
49	NLGN1	neuroligin 1	922287	13	11	11	1	1	0	0	8	4	0	2.10e-05	0.406	0.144	0.569	0.218	6.09e-05	0.0232
50	GPRIN3	GPRIN family member 3	865483	6	6	5	1	0	3	2	1	0	0	0.0406	0.279	1.34e-05	0.803	0.000115	6.19e-05	0.0232
51	OR2J3	olfactory receptor, family 2, subfamily J, member 3	349132	6	6	6	1	0	0	2	4	0	0	0.000224	0.463	0.0802	0.0251	0.0227	6.71e-05	0.0245
52	SSTR3	somatostatin receptor 3	420007	5	5	5	0	1	1	0	2	1	0	0.0176	0.310	0.000420	0.861	0.000294	6.81e-05	0.0245
53	OR8H2	olfactory receptor, family 8, subfamily H, member 2	349961	8	8	8	0	0	0	2	6	0	0	7.30e-06	0.109	0.780	0.419	0.725	6.95e-05	0.0245
